// ConvertZZ 額外分詞表（詞|詞性|權值）。正字、錯字與其簡體詞形都寫入。不得併入套件檔。
有几|0x100000|73
有志於|0x1000|5
有志于|0x1000|5
有痠|0x100000|10
有酸|0x100000|10
有繫|0x100000|11
有系|0x100000|11
有蟲|0x100000|72
有虫|0x100000|72
有製|0x100000|7
有制|0x100000|7
有註|0x100000|68
有注|0x100000|68
有鏽|0x100000|13
有锈|0x100000|13
有銹|0x100000|13
有隻|0x100000|23
有只|0x100000|23
有雲|0x100000|16
有云|0x100000|16
有鬆|0x100000|18
有松|0x100000|18
有鹹|0x100000|26
有咸|0x100000|26
有點鹹|0x1000|13
有点咸|0x1000|13
有點咸|0x1000|13
有点鹹|0x1000|13
期佔|0x100000|5
期占|0x100000|5
期於|0x100000|31
期于|0x100000|31
未劃|0x100000|37
未划|0x100000|37
未塗|0x100000|10
未凃|0x100000|10
未於|0x100000|538
未于|0x100000|538
未沖|0x100000|12
未冲|0x100000|12
未衝|0x100000|12
未癒|0x100000|7
未愈|0x100000|7
未繫|0x100000|24
未系|0x100000|24
未註|0x100000|8
未注|0x100000|8
末彙|0x100000|6
末汇|0x100000|6
末匯|0x100000|6
本於|0x100000|9
本于|0x100000|9
本舖|0x100000|6
本铺|0x100000|6
本鋪|0x100000|6
本隻|0x100000|5
本只|0x100000|5
李乾|0x100000|5
李干|0x100000|5
李恆|0x80|5
李恒|0x80|5
李採|0x100000|6
李采|0x100000|6
李詠|0x100000|9
李咏|0x100000|9
李雲|0x80|5
李云|0x80|5
材後|0x100000|6
材后|0x100000|6
杯沖|0x100000|6
杯冲|0x100000|6
杯衝|0x100000|6
杯麵|0x100000|9
杯面|0x100000|9
東恆|0x100000|51
东恒|0x100000|51
東恒|0x100000|51
松阪|0x100000|66
松坂|0x100000|66
板於|0x100000|5
板于|0x100000|5
林家裡|0x100000|6
林家里|0x100000|6
林曉雲|0x80|5
林晓云|0x80|5
林曉云|0x80|5
林總幹事|0x100000|12
林总干事|0x100000|12
林總干事|0x100000|12
林義傑|0x80|21
林义杰|0x80|21
林義杰|0x80|21
果殼|0x100000|27
果壳|0x100000|27
果殻|0x100000|27
果舖|0x100000|10
果铺|0x100000|10
果鋪|0x100000|10
枯乾|0x1000|5
枯干|0x1000|5
柏勳|0x100000|12
柏勋|0x100000|12
柏勛|0x100000|12
某份|0x100000|8
某分|0x100000|8
某隻|0x100000|31
某只|0x100000|31
染髮|0x1000|80
染发|0x1000|80
染發|0x1000|80
查係|0x100000|32
查系|0x100000|32
柱樑|0x100000|17
柱梁|0x100000|17
根樑|0x100000|12
根梁|0x100000|12
格劃|0x100000|31
格划|0x100000|31
格裡|0x80|285
格里|0x80|285
格鬥|0x1000|170
格斗|0x1000|170
格闘|0x1000|170
格鬥賽|0x1000|9
格斗赛|0x1000|9
格闘賽|0x1000|9
格闘赛|0x1000|9
案係|0x100000|6
案系|0x100000|6
案於|0x100000|9
案于|0x100000|9
桌併|0x100000|26
桌并|0x100000|26
桌並|0x100000|26
桌曆|0x100000|5
桌历|0x100000|5
桌歷|0x100000|5
桿上|0x100000|88
杆上|0x100000|88
桿之|0x100000|8
杆之|0x100000|8
桿件|0x100000|9
杆件|0x100000|9
桿位|0x100000|9
杆位|0x100000|9
桿做|0x100000|5
杆做|0x100000|5
桿前|0x100000|8
杆前|0x100000|8
桿卡|0x100000|5
杆卡|0x100000|5
桿及|0x100000|6
杆及|0x100000|6
桿和|0x100000|6
杆和|0x100000|6
桿因|0x100000|5
杆因|0x100000|5
桿在|0x100000|28
杆在|0x100000|28
桿子|0x100000|85
杆子|0x100000|85
桿將|0x100000|17
杆将|0x100000|17
杆將|0x100000|17
桿就|0x100000|5
杆就|0x100000|5
桿已|0x100000|11
杆已|0x100000|11
桿式|0x100000|17
杆式|0x100000|17
桿往|0x100000|16
杆往|0x100000|16
桿或|0x100000|16
杆或|0x100000|16
桿把|0x100000|22
杆把|0x100000|22
桿旁|0x100000|6
杆旁|0x100000|6
桿是|0x100000|7
杆是|0x100000|7
桿時|0x100000|13
杆时|0x100000|13
杆時|0x100000|13
桿會|0x100000|11
杆会|0x100000|11
杆會|0x100000|11
桿有|0x100000|21
杆有|0x100000|21
桿未|0x100000|7
杆未|0x100000|7
桿機|0x100000|13
杆机|0x100000|13
杆機|0x100000|13
桿沒|0x100000|9
杆没|0x100000|9
杆沒|0x100000|9
桿深|0x100000|5
杆深|0x100000|5
桿狀|0x100000|5
杆状|0x100000|5
杆狀|0x100000|5
桿的|0x100000|191
杆的|0x100000|191
桿等|0x100000|6
杆等|0x100000|6
桿與|0x100000|40
杆与|0x100000|40
杆與|0x100000|40
桿菌|0x100000|246
杆菌|0x100000|246
桿被|0x100000|6
杆被|0x100000|6
桿要|0x100000|8
杆要|0x100000|8
桿調|0x100000|8
杆调|0x100000|8
杆調|0x100000|8
桿請|0x100000|5
杆请|0x100000|5
杆請|0x100000|5
桿跟|0x100000|7
杆跟|0x100000|7
桿身|0x100000|10
杆身|0x100000|10
桿都|0x100000|11
杆都|0x100000|11
桿長|0x100000|5
杆长|0x100000|5
杆長|0x100000|5
桿體|0x100000|5
杆体|0x100000|5
杆體|0x100000|5
梁文傑|0x80|6
梁文杰|0x80|6
條乾|0x100000|23
条干|0x100000|23
條干|0x100000|23
條幾|0x100000|7
条几|0x100000|7
條几|0x100000|7
條鬆|0x100000|5
条松|0x100000|5
條松|0x100000|5
梧棲|0x100000|52
梧栖|0x100000|52
械鬥|0x1000|67
械斗|0x1000|67
棉製|0x100000|7
棉制|0x100000|7
棉襪|0x100000|21
棉袜|0x100000|21
棲位|0x100000|11
栖位|0x100000|11
棲地|0x100000|293
栖地|0x100000|293
棲居|0x1000|9
栖居|0x1000|9
棲蘭|0x100000|6
栖兰|0x100000|6
栖蘭|0x100000|6
椏幹|0x100000|6
桠干|0x100000|6
椏干|0x100000|6
楊双子|0x80|40
杨双子|0x80|40
楊雙子|0x80|40
楊碧雲|0x80|5
杨碧云|0x80|5
楊碧云|0x80|5
楊秉彝|0x100000|13
杨秉彝|0x100000|13
楊秉彞|0x100000|13
極乾|0x100000|15
极干|0x100000|15
極干|0x100000|15
極準|0x100000|16
极准|0x100000|16
極准|0x100000|16
構樑|0x100000|11
构梁|0x100000|11
構梁|0x100000|11
槓上|0x100000|10
杠上|0x100000|10
槓了|0x100000|7
杠了|0x100000|7
槓來|0x100000|5
杠来|0x100000|5
杠來|0x100000|5
槓做|0x100000|34
杠做|0x100000|34
槓前|0x100000|30
杠前|0x100000|30
槓太|0x100000|5
